rank,title,authors,year,id,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_path,source_path,pdf_status,source_status
762,Automating structure–activity analysis for electrochemical nitrogen reduction catalyst design through multi-agent collaborations,"Xu Hu, Suya Chen, Letian Chen et al",2025,https://doi.org/10.1093/nsr/nwaf372,candidate,trend,Scientific and Domain Agents,openalex:scientific-agents,4,0.92,https://doi.org/10.1093/nsr/nwaf372,,,,,unresolved,unavailable
766,Beyond Single Systems: How Multi-Agent AI Is Reshaping Ethics in Radiology,"Sara Salehi, Yashbir Singh, Parnian Habibi et al",2025,https://doi.org/10.3390/bioengineering12101100,candidate,trend,Scientific and Domain Agents,openalex:workflow-generation,5,0.92,https://doi.org/10.3390/bioengineering12101100,,,,,unresolved,unavailable
772,LLM-augmented multi-agent cooperative framework for medical case retrieval in cardiology,"Lang Deng, Huanhuan Hu, Kongjie Lu et al",2025,https://doi.org/10.1007/s44443-025-00311-z,candidate,trend,Scientific and Domain Agents,openalex:frameworks,3,0.92,https://doi.org/10.1007/s44443-025-00311-z,,,,,unresolved,unavailable
775,FactorMAD: A Multi-Agent Debate Framework Based on Large Language Models for Interpretable Stock Alpha Factor Mining,"Yitong Duan, chuheng zhang, Jian Li",2025,https://doi.org/10.1145/3768292.3770377,candidate,trend,Scientific and Domain Agents,openalex:debate,0,0.9,https://doi.org/10.1145/3768292.3770377,,,,,unresolved,unavailable
778,MedARC: Adaptive multi-agent refinement and collaboration for enhanced medical reasoning in large language models,"Yongming Miao, Jiaxin Wen, Yuemei Luo et al",2025,https://doi.org/10.1016/j.ijmedinf.2025.106136,candidate,trend,Scientific and Domain Agents,openalex:collaboration;openalex:medical-agents,2,0.92,https://doi.org/10.1016/j.ijmedinf.2025.106136,,,,,unresolved,unavailable
780,Validation of an LLM-based Multi-Agent Framework for Protein Engineering in Dry Lab and Wet Lab,"Zan Chen, Yungeng Liu, Yu Guang Wang et al",2024,https://doi.org/10.1109/bibm62325.2024.10822562,candidate,core,Scientific and Domain Agents,openalex:frameworks,3,0.92,https://doi.org/10.1109/bibm62325.2024.10822562,,,,,unresolved,unavailable
785,Iteratively-Refined Interactive 3D Medical Image Segmentation With Multi-Agent Reinforcement Learning,"Xuan Liao, Wenhao Li, Qisen Xu et al",2020,2020.00941,candidate,anchor,Scientific and Domain Agents,openalex:marl,101,0.92,https://doi.org/10.1109/cvpr42600.2020.00941,,,,,unresolved,unavailable
787,HEAL-KGGen: A Hierarchical Multi-Agent LLM Framework with Knowledge Graph Enhancement for Genetic Biomarker-Based Medical Diagnosis,"Kaiwen Zuo, Zixuan Zhong, Peizhou Huang et al",2025,https://doi.org/10.1101/2025.06.03.657521,candidate,trend,Scientific and Domain Agents,openalex:frameworks;openalex:medical-agents,7,0.92,https://doi.org/10.1101/2025.06.03.657521,,,,,unresolved,unavailable
788,SciAgents: Automating Scientific Discovery Through Bioinspired Multi‐Agent Intelligent Graph Reasoning,"Alireza Ghafarollahi, Markus J. Buehler",2024,https://doi.org/10.1002/adma.202413523,candidate,core,Scientific and Domain Agents,openalex:scientific-agents,73,0.92,https://doi.org/10.1002/adma.202413523,,,,,unresolved,unavailable
789,Mitigating Cognitive Biases in Clinical Decision-Making Through Multi-Agent Conversations Using Large Language Models: Simulation Study,"Yuhe Ke, Rui Yang, Sui An Lie et al",2024,https://doi.org/10.2196/59439,candidate,core,Scientific and Domain Agents,openalex:medical-agents,43,0.92,https://doi.org/10.2196/59439,,,,,unresolved,unavailable
790,Learning from Nature to Achieve Material Sustainability: Generative AI for Rigorous Bio-inspired Materials Design,"Rachel K. Luu, Sofia Arevalo, Wei Lu et al",2024,https://doi.org/10.21428/e4baedd9.33bd7449,candidate,core,Scientific and Domain Agents,openalex:scientific-agents,19,0.92,https://doi.org/10.21428/e4baedd9.33bd7449,,,,,unresolved,unavailable
791,Integration of Multi-Source Medical Data for Medical Diagnosis Question Answering,"Qi Peng, Yi Cai, Jiankun Liu et al",2024,https://doi.org/10.1109/tmi.2024.3496862,candidate,core,Scientific and Domain Agents,openalex:medical-agents,13,0.92,https://doi.org/10.1109/tmi.2024.3496862,,,,,unresolved,unavailable
792,DeepResearcher: Scaling Deep Research via Reinforcement Learning in Real-world Environments,"Yuxiang Zheng, Dayuan Fu, Xiangkun Hu et al",2025,https://doi.org/10.18653/v1/2025.emnlp-main.22,candidate,trend,Scientific and Domain Agents,openalex:web-agents,8,0.92,https://doi.org/10.18653/v1/2025.emnlp-main.22,,,,,unresolved,unavailable
793,Synthetic Arabic Medical Dialogues Using Advanced Multi-Agent LLM Techniques,"Mariam ALMutairi, Lulwah AlKulaib, Melike Aktas et al",2024,https://doi.org/10.18653/v1/2024.arabicnlp-1.2,candidate,core,Scientific and Domain Agents,openalex:medical-agents,7,0.92,https://doi.org/10.18653/v1/2024.arabicnlp-1.2,,,,,unresolved,unavailable
795,A multi-agent framework combining large language models with medical flowcharts for self-triage,"Yujia Liu, Sophia Yu, Hongyue Jin et al",2026,https://doi.org/10.1038/s44360-026-00112-2,candidate,trend,Scientific and Domain Agents,openalex:medical-agents,0,0.82,https://doi.org/10.1038/s44360-026-00112-2,,,,,unresolved,unavailable
799,HedgeAgents: A Balanced-aware Multi-agent Financial Trading System,"Xiangyu Li, Yawen Zeng, Xiaofen Xing et al",2025,https://doi.org/10.1145/3701716.3715232,candidate,trend,Scientific and Domain Agents,openalex:finance-agents,7,0.92,https://doi.org/10.1145/3701716.3715232,,,,,unresolved,unavailable
800,"An organizational theory for multi-agent interactions integrating human agents, LLMs, and specialized AI","Uwe M. Borghoff, Paolo Bottoni, Remo Pareschi",2025,https://doi.org/10.1007/s10791-025-09667-2,candidate,trend,Scientific and Domain Agents,openalex:human-ai-coordination,5,0.92,https://doi.org/10.1007/s10791-025-09667-2,,,,,unresolved,unavailable
803,The Virtual Lab: AI Agents Design New SARS-CoV-2 Nanobodies with Experimental Validation,"Kyle Swanson, Wesley Wu, Nash L. Bulaong et al",2024,https://doi.org/10.1101/2024.11.11.623004,candidate,bridge,Scientific and Domain Agents,openalex:ai-scientist;openalex:scientific-agents,48,0.92,https://doi.org/10.1101/2024.11.11.623004,,,,,unresolved,unavailable
804,FinVision: A Multi-Agent Framework for Stock Market Prediction,"Sorouralsadat Fatemi, Yuheng Hu",2024,https://doi.org/10.1145/3677052.3698688,candidate,core,Scientific and Domain Agents,openalex:finance-agents,16,0.92,https://doi.org/10.1145/3677052.3698688,,,,,unresolved,unavailable
805,Enhancing Financial Question Answering with a Multi-Agent Reflection Framework,"Sorouralsadat Fatemi, Yuheng Hu",2024,https://doi.org/10.1145/3677052.3698686,candidate,core,Scientific and Domain Agents,openalex:reasoning,9,0.92,https://doi.org/10.1145/3677052.3698686,,,,,unresolved,unavailable
