rank,title,authors,year,id,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_path,source_path,pdf_status,source_status
927,Beyond Homo Economicus: Computational Instantiation and Empirical Analysis of Amartya Sen's Meta-Ranking Theory in Multi-Agent Social Dilemmas,"Heo, Yesol",2026,https://doi.org/10.5281/zenodo.18728438,candidate,trend,"MARL, Emergent Communication, and Social Behavior",openalex:social-dilemmas,0,0.85,https://doi.org/10.5281/zenodo.18728438,,,,,unresolved,unavailable
933,Spectrum Sharing in V2X Networks Based on Multi-Agent Graph Emergent Communication,"Yue Pi, Wang Zhang, Yulong Ding et al",2025,https://doi.org/10.1109/smc58881.2025.11343592,candidate,trend,"MARL, Emergent Communication, and Social Behavior",openalex:emergent-communication,0,0.85,https://doi.org/10.1109/smc58881.2025.11343592,,,,,unresolved,unavailable
940,The «Stag Hunt» Social Dilemma in Multi-Agent Reinforcement Learning,"Egor F. Morgunov, Alexander N. Alfimtsev",2024,https://doi.org/10.1109/reepe60449.2024.10479770,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",openalex:social-dilemmas,0,0.85,http://dx.doi.org/10.1109/reepe60449.2024.10479770,,,,,unresolved,unavailable
959,LLM-guided decision-making toolkit for multi-agent reinforcement learning,"Zhemin Li, Ruobing Zhang, Zhengming Wang et al",2025,https://doi.org/10.1016/j.neucom.2025.130105,candidate,trend,"MARL, Emergent Communication, and Social Behavior",openalex:collaboration,10,0.92,https://doi.org/10.1016/j.neucom.2025.130105,,,,,unresolved,unavailable
960,LERO: LLM-driven Evolutionary Framework with Hybrid Rewards and Enhanced Observation for Multi-Agent Reinforcement Learning,"Yuan Wei, Xiaohan Shan, Ran Miao et al",2025,https://doi.org/10.1007/978-981-96-9894-3_2,candidate,trend,"MARL, Emergent Communication, and Social Behavior",openalex:frameworks,3,0.92,https://doi.org/10.1007/978-981-96-9894-3_2,,,,,unresolved,unavailable
963,Multi-Objective Workflow Scheduling With Deep-Q-Network-Based Multi-Agent Reinforcement Learning,"Yuandou Wang, Hang Liu, Wanbo Zheng et al",2019,https://doi.org/10.1109/access.2019.2902846,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",openalex:marl,282,0.92,https://doi.org/10.1109/access.2019.2902846,,,,,unresolved,unavailable
964,Optimizing task scheduling in human-robot collaboration with deep multi-agent reinforcement learning,"Tian Yu, Jing Huang, Qing Chang",2021,https://doi.org/10.1016/j.jmsy.2021.07.015,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",openalex:marl,125,0.92,https://doi.org/10.1016/j.jmsy.2021.07.015,,,,,unresolved,unavailable
965,Effective Communications: A Joint Learning and Communication Framework for Multi-Agent Reinforcement Learning over Noisy Channels,"Tung T. -Y., Kobus S., Roig J. P. et al",2021,https://doi.org/10.1109/jsac.2021.3087248,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",openalex:marl,99,0.92,http://hdl.handle.net/11380/1280044,,,,,unresolved,unavailable
966,Multi-Agent Reinforcement Learning for Real-Time Dynamic Production Scheduling in a Robot Assembly Cell,"Dazzle Johnson, Gang Chen, Yuqian Lu",2022,https://doi.org/10.1109/lra.2022.3184795,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",openalex:marl,91,0.92,https://doi.org/10.1109/lra.2022.3184795,,,,,unresolved,unavailable
968,Multi-Agent Incentive Communication via Decentralized Teammate Modeling,"Lei Yuan, Jianhao Wang, Fuxiang Zhang et al",2022,https://doi.org/10.1609/aaai.v36i9.21179,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",openalex:dec-pomdp,68,0.92,https://doi.org/10.1609/aaai.v36i9.21179,,,,,unresolved,unavailable
