rank,title,authors,year,id,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_path,source_path,pdf_status,source_status
25,Self-Adaptive Large Language Model (LLM)-Based Multiagent Systems,Nascimento et al,2023,ACSOS-C 2023,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,,,,,unresolved,unavailable
28,Multi-Agent Communication Meets Natural Language: Synergies Between Functional and Structural Language Learning,Lazaridou et al,2020,ACL 2020,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;local-bib,0,1.0,,,,,,unresolved,unavailable
41,Commitments and Conventions: The Foundation of Coordination in Multi-Agent Systems,Jennings,1993,DOI:10.1017/S0269888900000205,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,,,,,unresolved,unavailable
46,Emergent Behaviors in Multi-Agent LLM Collaboration,Wang et al,2024,Artificial Intelligence Insights,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,,,,,unresolved,unavailable
48,"MechAgents: Large language model multi-agent collaborations can solve mechanics problems, generate new data, and integrate knowledge",Ni et al,2024,Extreme Mechanics Letters,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:collaboration,75,1.0,https://doi.org/10.1016/j.eml.2024.102131,,,,,unresolved,unavailable
50,MegaAgent: A large-scale autonomous LLM-based multi-agent system without predefined SOPs,Wang et al,2025,Findings of the Association for Computational Linguistics: ACL 2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,curated-400;openalex:llm-mas,7,1.0,https://doi.org/10.18653/v1/2025.findings-acl.259,,,,,unresolved,unavailable
63,LongAgent: Scaling Language Models to 128k Context through Multi-Agent Collaboration,Zhao et al,2024,EMNLP,candidate,core,LLM Multi-Agent Frameworks and Coordination,curated-400,0,1.0,,,,,,unresolved,unavailable
77,MACM: Utilizing a Multi-Agent System for Condition Mining in Solving Complex Mathematical Problems,Lei et al,2024,NeurIPS 2024,candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,,,,,unresolved,unavailable
82,LLM-Blender: Ensembling Large Language Models with Pairwise Ranking and Generative Fusion,Jiang et al,2023,10.18653/v1/2023.acl-long.792,candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,,,,,unresolved,unavailable
85,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,Besta et al,2024,10.1609/aaai.v38i16.29720,watchlist,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,,,,,unresolved,unavailable
87,Single-agent vs. multi-agent LLM strategies for automated student reflection assessment,Li et al,2025,Pacific-Asia Conference on Knowledge Discovery and Data Mining,candidate,trend,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,,,,,unresolved,unavailable
91,Enabling Synergistic Knowledge Sharing and Reasoning in Large Language Models with Collaborative Multi-Agents,Das et al,2023,2023 IEEE 9th International Conference on Collaboration and Internet Computing (CIC),candidate,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,,,,,unresolved,unavailable
93,DebateGPT: Fine-tuning Large Language Models with Multi-agent Debate Supervision,Subramaniam et al,2024,unknown,watchlist,core,"Debate, Reasoning, and Aggregation",curated-400,0,1.0,,,,,,unresolved,unavailable
96,Rethinking the Bounds of LLM Reasoning: Are Multi-Agent Discussions the Key?,Wang et al,2024,Annual Meeting of the Association for Computational Linguistics (ACL),candidate,core,"Debate, Reasoning, and Aggregation",curated-400;openalex:reasoning,26,1.0,https://doi.org/10.18653/v1/2024.acl-long.331,,,,,unresolved,unavailable
98,Improving Multi-Agent Debate with Sparse Communication Topology,Li et al,2024,EMNLP Findings,candidate,core,"Debate, Reasoning, and Aggregation",curated-400;local-bib;openalex:debate,7,1.0,https://doi.org/10.18653/v1/2024.findings-emnlp.427,,,,,unresolved,unavailable
109,Exchange-of-Thought: Enhancing Large Language Model Capabilities through Cross-Model Communication,Yin et al,2023,10.18653/v1/2023.emnlp-main.936,candidate,bridge,Agent Foundations and Infrastructure,curated-400;openalex:topology,14,1.0,https://doi.org/10.18653/v1/2023.emnlp-main.936,,,,,unresolved,unavailable
139,Deal or No Deal? End-to-End Learning of Negotiation Dialogues,Lewis et al,2017,EMNLP 2017,candidate,bridge,Agent Foundations and Infrastructure,curated-400,0,1.0,,,,,,unresolved,unavailable
141,Countering Language Drift via Visual Grounding,Lee et al,2019,EMNLP-IJCNLP 2019,candidate,bridge,Agent Foundations and Infrastructure,curated-400;openalex:emergent-communication,4,1.0,https://doi.org/10.18653/v1/d19-1447,,,,,unresolved,unavailable
142,Social Simulacra: Creating Populated Prototypes for Social Computing Systems,Park et al,2022,10.1145/3526113.3545616,candidate,bridge,Agent Foundations and Infrastructure,curated-400,0,1.0,,,,,,unresolved,unavailable
159,LLMArena: Assessing Capabilities of Large Language Models in Dynamic Multi-Agent Environments,Chen et al,2024,10.18653/v1/2024.acl-long.705,candidate,bridge,Benchmarks and Evaluation,curated-400;local-bib,0,1.0,,,,,,unresolved,unavailable
