rank,id,title,decision,overall_score_1_10,review_confidence_1_5,reason
190,GitHub repository,ChatArena: Multi-Agent Language Game Environments for Large Language Models,keep,5,3,"Relevant LLM multi-agent environment artifact for communication and language-game evaluation; unresolved local artifact and repository rather than full paper, but not obvious corpus noise."
259,DOI:10.1038/s41746-025-01550-0,Enhancing Diagnostic Capability with Multi-Agents Conversational Large Language Models,keep,6,4,"Direct LLM multi-agent diagnostic framework with single-agent comparisons, subgroup analysis over agent roles/counts, and credible medical venue; limitations around token-budget confounding need deeper review."
275,DOI:10.1038/s42256-025-01066-y,Large Language Models to Accelerate Organic Chemistry Synthesis,remove,4,4,"Credible chemistry LLM paper but metadata and quick lookup indicate a fine-tuned chemistry assistant/model for synthesis rather than a multi-agent system or coordination study."
278,DOI:10.1038/s44387-026-00111-4,"Verification-first Autonomous Catalysis: Large Language Models as Infrastructure for Mechanism, Computation, and Experiment",needs_followup,5,2,"Very recent autonomous-catalysis perspective with only sparse metadata available locally; plausibly relevant to scientific agent infrastructure but multi-agent specificity cannot be judged fairly from the artifact."
280,DOI:10.1038/s41467-024-54457-x,An Automatic End-to-End Chemical Synthesis Development Platform Powered by Large Language Models,keep,6,3,"Credible automated synthesis platform using LLM orchestration; multi-agent specificity is uncertain from metadata, but it is plausibly useful for scientific/domain agent coverage and needs deeper review."
337,ICML 1993,Multi-agent Reinforcement Learning: Independent versus Cooperative Agents,keep,8,5,"Classic MARL foundation contrasting independent and cooperative learning, directly relevant as an anchor for multi-agent learning mechanisms."
348,ICML 1994,Markov Games as a Framework for Multi-Agent Reinforcement Learning,keep,9,5,"Foundational formal framework for multi-agent reinforcement learning and stochastic games; high anchor value despite no local artifact."
349,ICML 2000,An Algorithm for Distributed Reinforcement Learning in Cooperative Multi-Agent Systems,keep,8,5,"Classic cooperative MARL algorithm paper with direct multi-agent specificity and historical foundation value."
350,IROS 2007,Hysteretic Q-Learning: An Algorithm for Decentralized Reinforcement Learning in Cooperative Multi-Agent Teams,keep,8,5,"Recognized decentralized cooperative MARL method addressing non-stationarity and team learning; strong anchor for MARL foundations."
385,DOI:10.1038/s43588-025-00811-y,Rethinking Chemical Research in the Age of Large Language Models,keep,5,3,"Credible domain roadmap for LLM-enabled chemistry workflows and agents; may be adjacent rather than MAS-specific, but survey/positioning value warrants deeper review rather than pruning."
387,DOI:10.1109/TSMCC.2007.913919,A Comprehensive Survey of Multi-Agent Reinforcement Learning,keep,8,5,"Established MARL survey with direct relevance to multi-agent foundations and taxonomy; keep as corpus anchor."
388,DOI:10.1007/s10458-005-2631-2,Cooperative Multi-Agent Learning: The State of the Art,keep,8,5,"Classic survey of cooperative multi-agent learning; directly relevant as a foundation for coordination and learning in MAS."
390,Vicinagearth,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges",keep,7,4,"Direct LLM-based MAS survey with high citation signal and broad taxonomy of workflows, infrastructure, applications, and challenges."
391,Wiley,An Introduction to MultiAgent Systems,keep,9,5,"Canonical textbook-level foundation for multi-agent systems; essential anchor despite not being LLM-specific."
392,Cambridge 2009,"Multiagent Systems: Algorithmic, Game-Theoretic, and Logical Foundations",keep,9,5,"Canonical MAS textbook covering algorithmic, game-theoretic, and logical foundations; strong anchor for the field map."
394,DOI:10.1145/191246.191322,KQML as an Agent Communication Language,keep,8,5,"Foundational agent communication language paper; directly relevant to communication protocols and MAS infrastructure."
395,KER 10(2),Intelligent Agents: Theory and Practice,keep,8,5,"Classic intelligent-agent theory paper by Wooldridge and Jennings; foundational for agent concepts and MAS positioning."
396,DOI:10.1109/TC.1980.1675516,The Contract Net Protocol: High-Level Communication and Control in a Distributed Problem Solver,keep,9,5,"Seminal distributed problem-solving and task-allocation protocol; highly relevant MAS foundation."
397,Nous 25(4),Teamwork,keep,8,4,"Foundational formal account of teamwork and joint intention, important for coordination concepts in MAS."
398,Market-based Control,Market-Oriented Programming: Some Early Lessons,keep,7,4,"Classic market-based control/MAS coordination work; relevant as a foundation for distributed allocation mechanisms."
