rank,title,authors,year,id,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_path,source_path,pdf_status,source_status
190,ChatArena: Multi-Agent Language Game Environments for Large Language Models,Wu et al,2023,GitHub repository,candidate,bridge,Benchmarks and Evaluation,curated-400,0,1.0,,,,,,unresolved,unavailable
259,Enhancing Diagnostic Capability with Multi-Agents Conversational Large Language Models,Chen et al,2025,DOI:10.1038/s41746-025-01550-0,candidate,trend,Scientific and Domain Agents,curated-400;openalex:medical-agents;openalex:reasoning,58,1.0,https://doi.org/10.1038/s41746-025-01550-0,,,,,unresolved,unavailable
275,Large Language Models to Accelerate Organic Chemistry Synthesis,Zhang et al,2025,DOI:10.1038/s42256-025-01066-y,candidate,trend,Scientific and Domain Agents,curated-400,0,1.0,,,,,,unresolved,unavailable
278,"Verification-first Autonomous Catalysis: Large Language Models as Infrastructure for Mechanism, Computation, and Experiment",Liu et al,2026,DOI:10.1038/s44387-026-00111-4,watchlist,trend,Scientific and Domain Agents,curated-400,0,1.0,,,,,,unresolved,unavailable
280,An Automatic End-to-End Chemical Synthesis Development Platform Powered by Large Language Models,Ruan et al,2024,DOI:10.1038/s41467-024-54457-x,candidate,trend,Scientific and Domain Agents,curated-400,0,1.0,,,,,,unresolved,unavailable
337,Multi-agent Reinforcement Learning: Independent versus Cooperative Agents,Tan,1993,ICML 1993,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,,,,,unresolved,unavailable
348,Markov Games as a Framework for Multi-Agent Reinforcement Learning,Littman,1994,ICML 1994,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,,,,,unresolved,unavailable
349,An Algorithm for Distributed Reinforcement Learning in Cooperative Multi-Agent Systems,Lauer & Riedmiller,2000,ICML 2000,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,,,,,unresolved,unavailable
350,Hysteretic Q-Learning: An Algorithm for Decentralized Reinforcement Learning in Cooperative Multi-Agent Teams,Matignon et al,2007,IROS 2007,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,,,,,unresolved,unavailable
385,Rethinking Chemical Research in the Age of Large Language Models,MacKnight et al,2025,DOI:10.1038/s43588-025-00811-y,candidate,survey,Surveys and Taxonomies,curated-400,0,1.0,,,,,,unresolved,unavailable
387,A Comprehensive Survey of Multi-Agent Reinforcement Learning,Busoniu et al,2008,DOI:10.1109/TSMCC.2007.913919,candidate,survey,Surveys and Taxonomies,curated-400,0,1.0,,,,,,unresolved,unavailable
388,Cooperative Multi-Agent Learning: The State of the Art,Panait & Luke,2005,DOI:10.1007/s10458-005-2631-2,candidate,survey,Surveys and Taxonomies,curated-400,0,1.0,,,,,,unresolved,unavailable
390,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges",Li et al,2024,Vicinagearth,candidate,survey,Surveys and Taxonomies,curated-400;openalex:frameworks;openalex:llm-mas;openalex:llm-mas-surveys;openalex:planning;openalex:reasoning;openalex:surveys,222,1.0,https://doi.org/10.1007/s44336-024-00009-2,,,,,unresolved,unavailable
391,An Introduction to MultiAgent Systems,Wooldridge,2002,Wiley,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,,,,,unresolved,unavailable
392,"Multiagent Systems: Algorithmic, Game-Theoretic, and Logical Foundations",Shoham & Leyton-Brown,2009,Cambridge 2009,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400;local-bib,0,1.0,,,,,,unresolved,unavailable
394,KQML as an Agent Communication Language,Finin et al,1994,DOI:10.1145/191246.191322,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,,,,,unresolved,unavailable
395,Intelligent Agents: Theory and Practice,Wooldridge & Jennings,1995,KER 10(2),candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,,,,,unresolved,unavailable
396,The Contract Net Protocol: High-Level Communication and Control in a Distributed Problem Solver,Smith,1980,DOI:10.1109/TC.1980.1675516,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,,,,,unresolved,unavailable
397,Teamwork,Cohen & Levesque,1991,Nous 25(4),candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,,,,,unresolved,unavailable
398,Market-Oriented Programming: Some Early Lessons,Wellman,1993,Market-based Control,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,,,,,unresolved,unavailable
