rank,id,title,decision,overall_score_1_10,review_confidence_1_5,reason
25,ACSOS-C 2023,Self-Adaptive Large Language Model (LLM)-Based Multiagent Systems,keep,5,3,"IEEE/ACSOS companion and arXiv-resolvable early LLM-MAS self-adaptation work; likely limited rigor and evidence, but relevant enough for deeper corpus review."
28,ACL 2020,Multi-Agent Communication Meets Natural Language: Synergies Between Functional and Structural Language Learning,keep,7,4,"Credible ACL foundation/bridge paper on emergent communication and natural language structure; not LLM-agent work, but useful background for multi-agent communication."
41,DOI:10.1017/S0269888900000205,Commitments and Conventions: The Foundation of Coordination in Multi-Agent Systems,keep,8,4,"Classic coordination-foundations paper with clear relevance to commitments, conventions, and MAS theory; keep as foundational context despite age."
46,Artificial Intelligence Insights,Emergent Behaviors in Multi-Agent LLM Collaboration,remove,2,4,"Exact title and venue did not resolve to a credible paper source in quick lookup; generic title, zero citation metadata, no URL/DOI/artifact, and dubious source make it obvious corpus noise."
48,Extreme Mechanics Letters,"MechAgents: Large language model multi-agent collaborations can solve mechanics problems, generate new data, and integrate knowledge",keep,6,4,"DOI-backed Elsevier journal article with strong citation metadata and explicit LLM multi-agent scientific workflow; domain-specific but clearly relevant."
50,Findings of the Association for Computational Linguistics: ACL 2025,MegaAgent: A large-scale autonomous LLM-based multi-agent system without predefined SOPs,keep,6,4,"ACL Findings paper with DOI and official ACL Anthology record; direct LLM-MAS framework contribution, though claims need deeper rigor/cost review."
63,EMNLP,LongAgent: Scaling Language Models to 128k Context through Multi-Agent Collaboration,keep,6,4,"ArXiv/EMNLP-resolvable long-context multi-agent collaboration method; directly relevant to coordination and scaling, with enough substance for deeper review."
77,NeurIPS 2024,MACM: Utilizing a Multi-Agent System for Condition Mining in Solving Complex Mathematical Problems,keep,7,4,"Confirmed NeurIPS 2024 main-track paper; directly uses multi-agent condition mining for math reasoning, so keep despite needing budget/single-agent scrutiny."
82,10.18653/v1/2023.acl-long.792,LLM-Blender: Ensembling Large Language Models with Pairwise Ranking and Generative Fusion,keep,6,4,"ACL long paper and DOI-backed foundation for LLM ensembling/ranking; multi-agent specificity is weaker, but it is relevant to aggregation and debate-adjacent methods."
85,10.1609/aaai.v38i16.29720,Graph of Thoughts: Solving Elaborate Problems with Large Language Models,keep,7,4,"AAAI/DOI-backed influential reasoning-framework paper; not strictly multi-agent, but important for graph/decomposition/aggregation baselines in agentic reasoning."
87,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Single-agent vs. multi-agent LLM strategies for automated student reflection assessment,keep,5,3,"Resolvable 2025 arXiv/application paper comparing single-agent and multi-agent LLM assessment; narrow but useful as practical/negative evidence rather than obvious noise."
91,2023 IEEE 9th International Conference on Collaboration and Internet Computing (CIC),Enabling Synergistic Knowledge Sharing and Reasoning in Large Language Models with Collaborative Multi-Agents,keep,5,3,"IEEE CIC venue and explicit collaborative multi-agent LLM reasoning topic; likely limited impact, but plausible and relevant enough to keep for deeper review."
93,unknown,DebateGPT: Fine-tuning Large Language Models with Multi-agent Debate Supervision,keep,4,3,"Resolvable OpenReview ICLR 2024 submission using multi-agent debate for supervision; venue/status and claims are weak, but it is plausible debate literature rather than obvious noise."
96,Annual Meeting of the Association for Computational Linguistics (ACL),Rethinking the Bounds of LLM Reasoning: Are Multi-Agent Discussions the Key?,keep,7,4,"ACL 2024 DOI-backed paper with citations and direct analysis of multi-agent discussion for reasoning; highly relevant to when multi-agent helps."
98,EMNLP Findings,Improving Multi-Agent Debate with Sparse Communication Topology,keep,7,4,"EMNLP Findings DOI-backed debate/topology paper; directly addresses communication structure and multi-agent specificity."
109,10.18653/v1/2023.emnlp-main.936,Exchange-of-Thought: Enhancing Large Language Model Capabilities through Cross-Model Communication,keep,6,4,"EMNLP main DOI-backed cross-model communication paper; relevant to multi-agent/cross-agent reasoning and aggregation, though exact MAS framing needs deeper review."
139,EMNLP 2017,Deal or No Deal? End-to-End Learning of Negotiation Dialogues,keep,8,4,"Classic EMNLP negotiation-dialogue paper; foundational for language-agent negotiation and multi-agent interaction despite pre-LLM framing."
141,EMNLP-IJCNLP 2019,Countering Language Drift via Visual Grounding,keep,6,4,"Credible EMNLP-IJCNLP emergent-communication paper; bridge relevance to language drift and grounded communication in agent interactions."
142,10.1145/3526113.3545616,Social Simulacra: Creating Populated Prototypes for Social Computing Systems,keep,7,4,"ACM DOI-backed social simulation/prototyping paper; strong bridge relevance for generative/social agent systems even if not an LLM-MAS method paper."
159,10.18653/v1/2024.acl-long.705,LLMArena: Assessing Capabilities of Large Language Models in Dynamic Multi-Agent Environments,keep,7,4,"ACL 2024 DOI-backed benchmark/evaluation paper for dynamic multi-agent environments; directly useful for corpus evaluation coverage."
