rank,id,title,decision,overall_score_1_10,review_confidence_1_5,reason
429,https://doi.org/10.1016/j.cag.2025.104338,"AgentCoord: Visually exploring coordination strategy for LLM-based multi-agent collaboration",keep,6,3,"Relevant visual analytics paper on coordination strategies for LLM multi-agent collaboration; venue and topic are credible enough for corpus retention."
430,https://doi.org/10.18653/v1/2025.naacl-long.83,"Divergent Thoughts toward One Goal: LLM-based Multi-Agent Collaboration System for Electronic Design Automation",keep,7,4,"NAACL long paper with a concrete multi-agent collaboration setting in EDA; clearly relevant and not obvious noise."
431,https://doi.org/10.18653/v1/2025.acl-long.1170,"AgentDropout: Dynamic Agent Elimination for Token-Efficient and High-Performance LLM-Based Multi-Agent Collaboration",keep,7,4,"ACL long paper directly studies agent elimination and token efficiency; strong match to coordination and cost tradeoffs."
432,https://doi.org/10.5121/ijci.2024.130602,"Dynamic Multi-Agent Orchestration and Retrieval for Multi-Source Question-Answer Systems using Large Language Models",keep,4,3,"Narrow lower-venue RAG and SQL-agent orchestration paper but the PDF shows a real methodology and relevant multi-source QA application."
433,https://doi.org/10.18653/v1/2025.emnlp-main.232,"MultiAgentESC: A LLM-based Multi-Agent Collaboration Framework for Emotional Support Conversation",keep,7,4,"EMNLP main paper with explicit LLM multi-agent collaboration for emotional support dialogue; credible venue and directly relevant."
440,https://doi.org/10.2139/ssrn.6235282,"RepoAI: Automated Code Refactoring through Multi-Agent LLM Orchestration and Retrieval-Augmented Generation",needs_followup,4,2,"Recent SSRN preprint with no accessible local artifact and no citation signal yet; title is plausibly relevant to coding agents so it should not be removed without deeper inspection."
441,https://doi.org/10.5281/zenodo.18707310,"Manifold: Eliminating False Positives in Multi-Agent LLM Systems Through Specification-Driven Orchestration",needs_followup,5,2,"Zenodo-only record is unreviewed but the metadata claims controlled trials and a specification-driven orchestration contribution; plausible enough to require follow-up."
444,https://doi.org/10.1364/ofc.2025.m3z.10,"Cross-Domain Orchestration with Multi-Agent LLM Framework for Enhanced Task Automation",keep,4,2,"Domain-specific OFC paper with low citation signal but still matches multi-agent LLM orchestration and task automation."
445,https://doi.org/10.2139/ssrn.5818317,"AutoTestX: Dependable Test Generation with Open-Source LLMs via Multi-Agent Orchestration",needs_followup,4,2,"SSRN preprint and artifact is unavailable in the batch; title is plausibly relevant to multi-agent test generation but needs paper-level verification."
446,https://doi.org/10.2139/ssrn.5149683,"Can Large Language Models Serve as Data Analysts? A Multi-Agent Assisted Approach for Qualitative Data Analysis",keep,5,3,"SSRN preprint but has stronger citation signal and credible affiliations; relevant to applied LLM multi-agent analysis workflows."
447,https://doi.org/10.1016/j.jmsy.2025.08.003,"LLM-based multi-agent task planning for human-robot collaborative assembly balancing operator experience and efficiency",keep,5,3,"Manufacturing systems journal paper with task planning and human-robot collaboration; relevant applied multi-agent LLM workflow despite domain specificity."
448,https://doi.org/10.1007/978-3-031-73058-0_17,"Collaborative Problem-Solving with LLM: A Multi-agent System Approach to Solve Complex Tasks Using Autogen",keep,4,3,"Likely incremental AutoGen application but it is directly about collaborative LLM problem solving and is not obvious corpus noise."
449,https://doi.org/10.14778/3685800.3685816,"AutoTQA: Towards Autonomous Tabular Question Answering through Multi-Agent Large Language Models",keep,7,4,"PVLDB paper with clear autonomous tabular QA contribution and strong citation signal for its age; strong corpus fit."
450,https://doi.org/10.1016/j.cie.2025.110889,"A blockchain-based LLM-driven energy-efficient scheduling system towards distributed multi-agent manufacturing scenario of new energy vehicles within the circular economy",keep,5,3,"Somewhat tangential industrial scheduling paper but it appears in a credible journal and combines LLM-driven scheduling with distributed multi-agent manufacturing."
451,https://doi.org/10.1080/17452007.2025.2456768,"Balancing performance and cost of LLMs in a multi-agent framework for BIM data retrieval",keep,5,3,"Applied BIM retrieval paper that explicitly studies performance-cost tradeoffs in a multi-agent LLM framework; useful despite narrow domain."
452,https://doi.org/10.13088/jiis.2025.31.1.191,"Beyond Text: Implementing Multimodal Large Language Model-Powered Multi-Agent Systems Using a No-Code Platform",keep,4,3,"No-code multimodal MAS implementation is likely more applied than foundational but metadata shows publication and citations; retain for deeper relevance review."
453,https://doi.org/10.1007/978-3-031-77367-9_29,"Beyond Chatbots: Enhancing Luxembourgish Language Learning Through Multi-agent Systems and Large Language Model",keep,4,3,"Educational language-learning application is narrow but directly uses LLM multi-agent systems and has a standard Springer venue record."
454,https://doi.org/10.1109/bigdata62323.2024.10826103,"EduMAS: A Novel LLM-Powered Multi-Agent Framework for Educational Support",keep,5,3,"IEEE BigData paper on an LLM-powered multi-agent education framework; applied but credible enough to keep."
455,https://doi.org/10.1007/978-3-031-80889-0_3,"GoNoGo: An Efficient LLM-Based Multi-agent System for Streamlining Automotive Software Release Decision-Making",keep,5,3,"Software release decision-making application with LLM multi-agent framing; plausible practical workflow paper rather than obvious noise."
456,https://doi.org/10.30574/wjaets.2024.13.2.0639,"Autonomous network monitoring using LLMs and multi-agent systems",remove,2,4,"Weak venue signal and inspected text is broad and claim-heavy with little apparent rigorous LLM multi-agent evaluation; obvious low-quality corpus noise for this map."
