rank,id,title,decision,overall_score_1_10,review_confidence_1_5,reason
762,https://doi.org/10.1093/nsr/nwaf372,Automating structure–activity analysis for electrochemical nitrogen reduction catalyst design through multi-agent collaborations,keep,6,3,"Recent DOI-backed scientific multi-agent collaboration paper in catalyst design with plausible domain relevance; unresolved artifact prevents deeper rigor check but not obvious noise."
766,https://doi.org/10.3390/bioengineering12101100,Beyond Single Systems: How Multi-Agent AI Is Reshaping Ethics in Radiology,keep,5,4,"Ethics and responsible deployment article rather than a technical system paper but explicitly addresses multi-agent radiology workflows and transparency risks; useful context for domain-agent map."
772,https://doi.org/10.1007/s44443-025-00311-z,LLM-augmented multi-agent cooperative framework for medical case retrieval in cardiology,keep,6,3,"Explicit LLM multi-agent medical retrieval framework with credible venue metadata; needs deeper evaluation but is plausibly relevant."
775,https://doi.org/10.1145/3768292.3770377,FactorMAD: A Multi-Agent Debate Framework Based on Large Language Models for Interpretable Stock Alpha Factor Mining,keep,6,4,"ACM proceedings paper explicitly using LLM multi-agent debate for financial factor mining; narrow and low citation so far but not obvious low quality."
778,https://doi.org/10.1016/j.ijmedinf.2025.106136,MedARC: Adaptive multi-agent refinement and collaboration for enhanced medical reasoning in large language models,keep,6,3,"Explicit LLM multi-agent collaboration for medical reasoning in a relevant journal; likely needs budget and baseline scrutiny but belongs in deeper review."
780,https://doi.org/10.1109/bibm62325.2024.10822562,Validation of an LLM-based Multi-Agent Framework for Protein Engineering in Dry Lab and Wet Lab,keep,7,3,"LLM-based multi-agent protein engineering with reported dry-lab and wet-lab validation is strongly relevant and practically useful if supported."
785,2020.00941,Iteratively-Refined Interactive 3D Medical Image Segmentation With Multi-Agent Reinforcement Learning,keep,6,4,"Not LLM-based but CVPR multi-agent reinforcement learning paper with high citation count; keep as a classic domain multi-agent foundation rather than prune."
787,https://doi.org/10.1101/2025.06.03.657521,HEAL-KGGen: A Hierarchical Multi-Agent LLM Framework with Knowledge Graph Enhancement for Genetic Biomarker-Based Medical Diagnosis,keep,5,3,"BioRxiv-style DOI and explicit hierarchical multi-agent LLM medical diagnosis framing; plausible relevance but needs later rigor and validation check."
788,https://doi.org/10.1002/adma.202413523,SciAgents: Automating Scientific Discovery Through Bioinspired Multi‐Agent Intelligent Graph Reasoning,keep,8,4,"Well-cited scientific discovery paper explicitly centered on multi-agent graph reasoning; strong corpus fit despite needing detailed assessment."
789,https://doi.org/10.2196/59439,Mitigating Cognitive Biases in Clinical Decision-Making Through Multi-Agent Conversations Using Large Language Models: Simulation Study,keep,7,4,"JMIR simulation study explicitly examines LLM multi-agent conversations and clinical decision bias; directly relevant to multi-agent benefits and risks."
790,https://doi.org/10.21428/e4baedd9.33bd7449,Learning from Nature to Achieve Material Sustainability: Generative AI for Rigorous Bio-inspired Materials Design,remove,3,4,"Metadata indicates a general generative-AI materials design essay or article with no explicit multi-agent framing and no available abstract evidence tying it to LLM multi-agent systems."
791,https://doi.org/10.1109/tmi.2024.3496862,Integration of Multi-Source Medical Data for Medical Diagnosis Question Answering,keep,7,4,"IEEE TMI paper introduces MedDQA and a medical multi-agent LLM system for multi-source data; title is generic but abstract confirms relevant multi-agent architecture."
792,https://doi.org/10.18653/v1/2025.emnlp-main.22,DeepResearcher: Scaling Deep Research via Reinforcement Learning in Real-world Environments,needs_followup,5,2,"Credible EMNLP web-agent paper and plausibly relevant to research agents but metadata does not establish multi-agent specificity; artifact review needed before pruning or keeping."
793,https://doi.org/10.18653/v1/2024.arabicnlp-1.2,Synthetic Arabic Medical Dialogues Using Advanced Multi-Agent LLM Techniques,keep,6,4,"ACL ArabicNLP proceedings paper explicitly uses multi-agent LLM techniques for medical dialogue data generation; relevant dataset-oriented contribution."
795,https://doi.org/10.1038/s44360-026-00112-2,A multi-agent framework combining large language models with medical flowcharts for self-triage,keep,6,3,"Nature-family DOI and explicit LLM multi-agent self-triage framework; very recent and low citation but clearly relevant enough for deeper review."
799,https://doi.org/10.1145/3701716.3715232,HedgeAgents: A Balanced-aware Multi-agent Financial Trading System,keep,6,3,"ACM DOI-backed financial trading system explicitly framed as multi-agent; narrow applied setting but not obvious corpus noise."
800,https://doi.org/10.1007/s10791-025-09667-2,"An organizational theory for multi-agent interactions integrating human agents, LLMs, and specialized AI",keep,6,4,"Springer article gives a formal organizational framework for human agents LLMs and specialized AI with topic-based group formation; theoretical rather than empirical but on-scope."
803,https://doi.org/10.1101/2024.11.11.623004,The Virtual Lab: AI Agents Design New SARS-CoV-2 Nanobodies with Experimental Validation,keep,8,4,"High-impact scientific agents paper with experimental validation and strong citation signal; highly relevant to multi-agent scientific discovery."
804,https://doi.org/10.1145/3677052.3698688,FinVision: A Multi-Agent Framework for Stock Market Prediction,keep,6,4,"ACM proceedings paper explicitly proposes a multi-agent stock prediction framework using LLM-era references; applied and narrow but relevant."
805,https://doi.org/10.1145/3677052.3698686,Enhancing Financial Question Answering with a Multi-Agent Reflection Framework,keep,6,3,"ACM DOI-backed paper explicitly uses a multi-agent reflection framework for financial QA; relevant despite likely needing stronger baseline review."
