rank,id,title,decision,overall_score_1_10,review_confidence_1_5,reason
697,2025.00071,MUARF: Leveraging Multi-Agent Workflows for Automated Code Refactoring,keep,6,3,"ICSE Companion 2025 paper directly about multi-agent workflows for code refactoring; low citations and limited artifact access, but plausible trend paper needing deeper review."
703,2602.06511,Evolutionary Generation of Multi-Agent Systems,keep,7,4,"arXiv paper is directly about LLM-based MAS architecture generation with evolutionary search and multiple benchmarks; recent and uncited but clearly relevant."
705,2024.01262,AssistGUI: Task-Oriented PC Graphical User Interface Automation,keep,6,3,"CVPR 2024 GUI automation work is credible and adjacent to computer-use agents; multi-agent specificity is unclear from metadata but not obvious noise."
707,https://doi.org/10.1109/etfa61755.2024.10710900,LLM experiments with simulation: Large Language Model Multi-Agent System for Simulation Model Parametrization in Digital Twins,keep,6,3,"ETFA paper explicitly studies an LLM multi-agent system for digital-twin simulation parametrization and has nontrivial citations; relevant applied MAS trend."
708,2025.00059,ALMAS: an Autonomous LLM-based Multi-Agent Software Engineering Framework,keep,6,3,"ASE workshop paper directly targets LLM-based multi-agent software engineering; likely framework-style but relevant enough to keep for deeper review."
713,https://doi.org/10.65109/kguh4382,A Framework for Collaborative and Interactive Agent-oriented Developer Operations,keep,5,3,"AAMAS paper on collaborative agent-oriented developer operations is a credible pre-LLM bridge/foundation, though not LLM-specific."
714,2025.00036,Human-In-The-Loop Software Development Agents,keep,6,3,"ICSE SEIP 2025 paper on software development agents is credible and practically relevant; multi-agent details need deeper review but not obvious noise."
715,2025.00404,An LLM-Enabled Multi-Agent Autonomous Mechatronics Design Framework,keep,5,3,"CVPRW paper explicitly describes an LLM-enabled multi-agent design framework; applied and low-citation, but plausibly relevant."
716,https://doi.org/10.1145/3769694.3771146,AI Agents Assisted Platform for Secure Quantum-Classical Networking Education,remove,3,4,"Education platform paper appears to use AI agents as instructional tooling rather than making a technical LLM multi-agent contribution; weak corpus fit and low citation signal."
724,https://doi.org/10.70286/isu-15.04.2026.021,SEMANTIC KERNEL USAGE FOR ORCHESTRATION OF MULTI-AGENT LLM-BASED SYSTEMS TO SOLVE THE TASKS WHICH REQUIRE DYNAMIC INVOLVEMENT OF NEW AGENTS,remove,2,4,"Zero-citation 2026 article in an obscure venue with a generic all-caps title; metadata suggests a thin Semantic Kernel orchestration writeup rather than a rigorous MAS contribution."
728,https://doi.org/10.1080/0951192x.2015.1066862,An agent-based collaborative platform for the design of assembly lines,keep,5,3,"Older agent-based collaborative platform paper in a credible manufacturing journal; not LLM-specific but plausible MAS bridge for collaborative engineering systems."
729,https://doi.org/10.1109/forge66646.2025.00026,AgileCoder: Dynamic Collaborative Agents for Software Development based on Agile Methodology,keep,6,3,"Recent IEEE/ACM FORGE paper directly about collaborative software-development agents; relevant to LLM multi-agent coding workflows."
730,https://doi.org/10.1145/3058592,Integrating Reinforcement Learning with Multi-Agent Techniques for Adaptive Service Composition,keep,6,4,"ACM TAAS article with 45 citations on RL and multi-agent adaptive service composition; credible non-LLM foundation/bridge."
733,https://doi.org/10.3390/app8050688,Development of Semantic Web-Enabled BDI Multi-Agent Systems Using SEA_ML: An Electronic Bartering Case Study,keep,5,3,"Model-driven BDI MAS development paper with moderate citations; not LLM-specific but a plausible AOSE foundation for agent architectures."
734,https://doi.org/10.1145/2851613.2851776,A methodology towards the adaptization of legacy systems using agent-oriented software engineering,keep,5,3,"ACM SAC paper on AOSE for legacy system adaptation; older and not LLM-specific, but credible enough as a bridge rather than obvious noise."
738,https://doi.org/10.1609/aaai.v30i1.9827,Multi-Agent System Development MADE Easy,keep,6,4,"AAAI proceedings paper on interactive MAS development with 12 citations; credible AOSE foundation/bridge relevant to multi-agent system construction."
755,https://doi.org/10.1016/j.procs.2015.08.312,Unified Distributed Computing and Co-ordination in Pervasive/Ubiquitous Networks with Mobile Multi-Agent Systems using a Modular and Portable Agent Code Processing Platform,remove,3,3,"Old mobile-agent distributed-computing platform in Procedia with little evident connection to LLM-driven multi-agent design, evaluation, or agentic workflows; likely field-map noise."
756,https://doi.org/10.1145/3696410.3714877,ColaCare: Enhancing Electronic Health Record Modeling through Large Language Model-Driven Multi-Agent Collaboration,keep,7,4,"WWW 2025 proceedings paper explicitly about LLM-driven multi-agent collaboration for EHR modeling with meaningful citation signal; strong corpus fit."
758,https://doi.org/10.1186/s12909-025-07250-3,Performance of single-agent and multi-agent language models in Spanish language medical competency exams,keep,6,4,"Direct single-agent versus multi-agent LLM evaluation in medical exams with clear comparative relevance; applied but useful for MAS performance evidence."
760,https://doi.org/10.1016/j.aei.2025.103643,A LLM-informed multi-agent AI system for drone-based visual inspection for infrastructure,keep,6,4,"Advanced Engineering Informatics article explicitly on LLM-informed multi-agent infrastructure inspection with citation signal; relevant applied MAS system."
