rank,id,title,decision,overall_score_1_10,review_confidence_1_5,reason
927,https://doi.org/10.5281/zenodo.18728438,Beyond Homo Economicus: Computational Instantiation and Empirical Analysis of Amartya Sen's Meta-Ranking Theory in Multi-Agent Social Dilemmas,keep,4,3,Zenodo preprint with zero citations but directly about MARL social dilemmas and has a substantial described empirical/code artifact; not an obvious noise removal.
933,https://doi.org/10.1109/smc58881.2025.11343592,Spectrum Sharing in V2X Networks Based on Multi-Agent Graph Emergent Communication,keep,5,3,IEEE proceedings paper on multi-agent graph emergent communication for V2X spectrum sharing; narrow applied MARL but credible and plausibly relevant.
940,https://doi.org/10.1109/reepe60449.2024.10479770,The «Stag Hunt» Social Dilemma in Multi-Agent Reinforcement Learning,keep,4,3,IEEE proceedings article directly on MARL social dilemma dynamics; low citation count and narrow venue but not obvious corpus noise.
959,https://doi.org/10.1016/j.neucom.2025.130105,LLM-guided decision-making toolkit for multi-agent reinforcement learning,keep,6,4,Recent Neurocomputing paper directly linking LLM guidance and MARL decision-making with early citations; clearly in scope for deeper review.
960,https://doi.org/10.1007/978-981-96-9894-3_2,LERO: LLM-driven Evolutionary Framework with Hybrid Rewards and Enhanced Observation for Multi-Agent Reinforcement Learning,keep,5,3,LLM-driven MARL framework in a Springer proceedings volume; likely incremental but in scope and not obviously low quality from metadata.
963,https://doi.org/10.1109/access.2019.2902846,Multi-Objective Workflow Scheduling With Deep-Q-Network-Based Multi-Agent Reinforcement Learning,keep,5,4,Highly cited IEEE Access MARL application paper; not LLM-specific but credible as MARL/workflow scheduling background.
964,https://doi.org/10.1016/j.jmsy.2021.07.015,Optimizing task scheduling in human-robot collaboration with deep multi-agent reinforcement learning,keep,5,4,Well-cited Journal of Manufacturing Systems paper on deep MARL for human-robot task scheduling; applied but credible foundation material.
965,http://hdl.handle.net/11380/1280044,Effective Communications: A Joint Learning and Communication Framework for Multi-Agent Reinforcement Learning over Noisy Channels,keep,7,4,Well-cited IEEE JSAC paper on learned communication under noisy channels; strong multi-agent communication specificity and useful background.
966,https://doi.org/10.1109/lra.2022.3184795,Multi-Agent Reinforcement Learning for Real-Time Dynamic Production Scheduling in a Robot Assembly Cell,keep,5,4,Well-cited IEEE Robotics and Automation Letters paper on practical MARL scheduling; credible applied MARL paper worth preserving.
968,https://doi.org/10.1609/aaai.v36i9.21179,Multi-Agent Incentive Communication via Decentralized Teammate Modeling,keep,7,4,AAAI paper with citations on decentralized teammate modeling and communication incentives; strong multi-agent specificity.
969,https://doi.org/10.1145/3292500.3330868,Automating Feature Subspace Exploration via Multi-Agent Reinforcement Learning,keep,5,4,ACM/KDD-era paper with significant citations; not LLM-focused but credible MARL method for automated exploration and not obvious noise.
970,https://doi.org/10.1109/tii.2022.3168319,Coordination for Multienergy Microgrids Using Multiagent Reinforcement Learning,keep,5,4,Well-cited IEEE Transactions paper on MARL coordination in microgrids; applied but relevant to multi-agent coordination.
971,https://doi.org/10.1561/3300000050,Recommender Systems Meet Large Language Model Agents: A Survey,keep,6,4,Survey directly about LLM agents in recommender systems; domain-specific but useful for the LLM-agent literature map.
972,https://doi.org/10.70777/si.v2i3.15417,"Highlights of the Issue: Governance, Agents, Evolutionary Search",remove,1,4,Editorial issue-highlight/paratetext rather than a research or survey contribution; weak source signal and no clear multi-agent technical content.
973,https://doi.org/10.1002/med4.70000,Agentic Large Language Models for Healthcare: Current Progress and Future Opportunities,keep,6,4,Healthcare-focused agentic LLM review with citations; relevant survey material despite domain specificity.
975,https://doi.org/10.5281/zenodo.18648837,Antrocon — Multi-Agent LLM Orchestration System,remove,2,4,Zenodo software release record for a local orchestration system rather than a peer-reviewed paper or substantive evaluated research article; zero citations and demo/tool metadata.
977,https://doi.org/10.1109/csnt64827.2025.10968728,Coding Agents: A Comprehensive Survey of Automated Bug Fixing Systems and Benchmarks,keep,5,3,Survey on coding agents and automated bug-fixing benchmarks; relevant to LLM agents and benchmarks though likely broad and early.
978,https://doi.org/10.20944/preprints202512.2119.v1,"Large Language Model Agents: A Comprehensive Survey on Architectures, Capabilities, and Applications",keep,5,3,Generic preprints.org LLM-agent survey with low citations but directly in scope; needs deeper review rather than obvious removal.
980,https://doi.org/10.3390/info16100894,"Large Language Model Agents for Biomedicine: A Comprehensive Review of Methods, Evaluations, Challenges, and Future Directions",keep,6,4,Biomedicine-focused LLM-agent review covering methods and evaluations; domain-specific but plausible survey material.
982,https://doi.org/10.3390/bioengineering12121303,Agentic AI and Large Language Models in Radiology: Opportunities and Hallucination Challenges,keep,5,3,Radiology-focused agentic LLM review; narrower and possibly more perspective-like but still relevant enough for deeper review.
