rank,title,authors,year,id,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_path,source_path,pdf_status,source_status
166,AgentQuest: A Modular Benchmark Framework to Measure Progress and Improve LLM Agents,Zhou et al,2024,2404.06411,candidate,bridge,Benchmarks and Evaluation,curated-400,0,1.0,,2404.06411,papers_extra/multi-agent-triaged/0166_2404.06411,papers_extra/multi-agent-triaged/0166_2404.06411/paper.pdf,papers_extra/multi-agent-triaged/0166_2404.06411/source,present,present
167,DiscoveryBench: Towards Data-Driven Discovery with Large Language Models,Majumder et al,2024,2407.01725,candidate,bridge,Benchmarks and Evaluation,curated-400,0,1.0,,2407.01725,papers_extra/multi-agent-triaged/0167_2407.01725,papers_extra/multi-agent-triaged/0167_2407.01725/paper.pdf,papers_extra/multi-agent-triaged/0167_2407.01725/source,present,present
168,LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code,Jain et al,2024,2403.07974,candidate,bridge,Benchmarks and Evaluation,curated-400,0,1.0,,2403.07974,papers_extra/multi-agent-triaged/0168_2403.07974,papers_extra/multi-agent-triaged/0168_2403.07974/paper.pdf,papers_extra/multi-agent-triaged/0168_2403.07974/source,present,present
169,MIRAI: Evaluating LLM Agents for Event Forecasting,Ye et al,2024,2407.01231,candidate,bridge,Benchmarks and Evaluation,curated-400,0,1.0,,2407.01231,papers_extra/multi-agent-triaged/0169_2407.01231,papers_extra/multi-agent-triaged/0169_2407.01231/paper.pdf,papers_extra/multi-agent-triaged/0169_2407.01231/source,present,present
170,Natural Language Does Not Emerge Naturally in Multi-Agent Dialog,Kottur et al,2017,1706.08502,candidate,bridge,Benchmarks and Evaluation,curated-400;local-bib,0,1.0,,1706.08502,papers_extra/multi-agent-triaged/0170_1706.08502,papers_extra/multi-agent-triaged/0170_1706.08502/paper.pdf,papers_extra/multi-agent-triaged/0170_1706.08502/source,present,present
171,AlphaRank: Multi-Agent Evaluation by Evolution,Omidshafiei et al,2019,1903.01373,candidate,bridge,Benchmarks and Evaluation,curated-400,0,1.0,,1903.01373,papers_extra/multi-agent-triaged/0171_1903.01373,papers_extra/multi-agent-triaged/0171_1903.01373/paper.pdf,papers_extra/multi-agent-triaged/0171_1903.01373/source,present,present
172,Neural MMO: A Massively Multiagent Game Environment for Training and Evaluating Intelligent Agents,Suarez et al,2019,1903.00784,candidate,bridge,Benchmarks and Evaluation,curated-400,0,1.0,,1903.00784,papers_extra/multi-agent-triaged/0172_1903.00784,papers_extra/multi-agent-triaged/0172_1903.00784/paper.pdf,papers_extra/multi-agent-triaged/0172_1903.00784/source,present,present
173,Scalable Evaluation of Multi-Agent Reinforcement Learning with Melting Pot,Leibo et al,2021,2107.06857,candidate,bridge,Benchmarks and Evaluation,arxiv:social-dilemmas;curated-400;openalex:social-dilemmas,23,1.0,https://arxiv.org/abs/2107.06857,2107.06857,papers_extra/multi-agent-triaged/0173_2107.06857,papers_extra/multi-agent-triaged/0173_2107.06857/paper.pdf,papers_extra/multi-agent-triaged/0173_2107.06857/source,present,present
174,SMACv2: An Improved Benchmark for Cooperative Multi-Agent Reinforcement Learning,Ellis et al,2022,2212.07489,candidate,bridge,Benchmarks and Evaluation,curated-400,0,1.0,,2212.07489,papers_extra/multi-agent-triaged/0174_2212.07489,papers_extra/multi-agent-triaged/0174_2212.07489/paper.pdf,papers_extra/multi-agent-triaged/0174_2212.07489/source,present,present
175,BrowseComp: A Simple Yet Challenging Benchmark for Browsing Agents,Wei et al,2025,2504.12516,candidate,bridge,Benchmarks and Evaluation,curated-400,0,1.0,,2504.12516,papers_extra/multi-agent-triaged/0175_2504.12516,papers_extra/multi-agent-triaged/0175_2504.12516/paper.pdf,papers_extra/multi-agent-triaged/0175_2504.12516/source,present,present
