rank,title,authors,year,id,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_path,source_path,pdf_status,source_status
535,A Dual-Agent Collaboration Framework Based on LLMs for Nursing Robots to Perform Bimanual Coordination Tasks,"Zhendong Zhao, Xiaotian Yue, Jiexin Xie et al",2025,https://doi.org/10.1109/lra.2025.3533476,candidate,trend,"Debate, Reasoning, and Aggregation",openalex:robot-collaboration,6,0.92,https://doi.org/10.1109/lra.2025.3533476,,,,,unresolved,unavailable
538,Privacy-Preserving LLM Infrastructure With Multi-Agent Orchestration And RAG-Driven Retrieval,"Chirag Agarwal, Naresh Erukulla, Rachit Gupta",2026,https://doi.org/10.63278/jicrcr.vi.3596,candidate,trend,"Debate, Reasoning, and Aggregation",openalex:orchestration,0,0.85,https://doi.org/10.63278/jicrcr.vi.3596,,,,,unresolved,unavailable
540,An Intelligent LLM-Powered Personalized Assistant for Digital Banking Using LangGraph and Chain of Thoughts,"Arafat Md Easin, Saha Sourav, Orosz Tamás",2024,https://doi.org/10.1109/sisy62279.2024.10737601,candidate,core,"Debate, Reasoning, and Aggregation",openalex:mobile-agents;openalex:reasoning,20,0.92,https://doi.org/10.1109/sisy62279.2024.10737601,,,,,unresolved,unavailable
551,ASPIRE: A Multi-Agent Framework for Execution-Free Code Analysis and Repair,"Buvaneswari A. Ramanan, Manzoor A. Khan, Abhinav Rao",2024,https://doi.org/10.1109/bigdata62323.2024.10825553,candidate,core,Agent Foundations and Infrastructure,openalex:coding-agents,1,0.92,https://doi.org/10.1109/bigdata62323.2024.10825553,,,,,unresolved,unavailable
553,From Data to Story: Towards Automatic Animated Data Video Creation with LLM-Based Multi-Agent Systems,"Leixian Shen, Haotian Li, Yun Wang et al",2024,2024.00008,candidate,core,Agent Foundations and Infrastructure,openalex:llm-mas,17,0.92,https://doi.org/10.1109/gen4ds63889.2024.00008,,,,,unresolved,unavailable
562,BioMaster: Multi-agent System for Automated Bioinformatics Analysis Workflow,"Houcheng Su, Weicai Long, Yanlin Zhang",2025,https://doi.org/10.1101/2025.01.23.634608,candidate,trend,Agent Foundations and Infrastructure,openalex:workflow-generation,10,0.92,https://doi.org/10.1101/2025.01.23.634608,,,,,unresolved,unavailable
563,LLM-Driven DAG Planning with Topological Execution for Multi-Agent AI Orchestration,"Maluskar, Hrishikesh",2026,https://doi.org/10.5281/zenodo.18911464,candidate,trend,Agent Foundations and Infrastructure,openalex:orchestration,0,0.85,https://openalex.org/W7134179185,,,,,unresolved,unavailable
568,Evolution of coordination in pairwise and multi-player interactions via prior commitments,"Ndidi Bianca Ogbo, Aiman Elragig, The Anh Han",2021,https://doi.org/10.1177/1059712321993166,candidate,bridge,Agent Foundations and Infrastructure,openalex:social-dilemmas,32,0.92,https://doi.org/10.1177/1059712321993166,,,,,unresolved,unavailable
569,Accelerated end-to-end chemical synthesis development with large language models,"Yixiang Ruan, Chenyin Lu, Ning Xu et al",2024,https://doi.org/10.26434/chemrxiv-2024-6wmg4,candidate,core,Agent Foundations and Infrastructure,openalex:web-agents,10,0.92,https://doi.org/10.26434/chemrxiv-2024-6wmg4,,,,,unresolved,unavailable
570,Multi-Agent hierarchical workflow for autonomous code generation with Large Language Models,"Akilesh S, Rajeev Sekar, Om Kumar C U et al",2025,https://doi.org/10.1109/sceecs64059.2025.10940635,candidate,trend,Agent Foundations and Infrastructure,openalex:coding-agents;openalex:workflow-generation,2,0.92,https://doi.org/10.1109/sceecs64059.2025.10940635,,,,,unresolved,unavailable
