rank,id,title,decision,overall_score_1_10,review_confidence_1_5,reason
596,https://doi.org/10.1016/j.mfglet.2024.03.010,"Large language model based agent for process planning of fiber composite structures",keep,4,3,"Credible Elsevier manufacturing journal paper with citation signal; it appears more single-agent and domain-specific than multi-agent, but is not obvious low-quality noise."
599,https://doi.org/10.1109/mcg.2025.3607741,"Agentic Visualization: Extracting Agent-Based Design Patterns From Visualization Systems",keep,5,3,"IEEE Computer Graphics and Applications article with substantial references; likely a bridge/design-pattern paper for agentic systems rather than core LLM-MAS, but credible enough to retain."
615,https://doi.org/10.1101/2025.08.22.25334049,"Orchestrated multi agents sustain accuracy under clinical-scale workloads compared to a single agent",keep,5,3,"MedRxiv-style preprint but the abstract directly compares orchestrated multi-agent and single-agent clinical workloads with model, scale, cost, and significance claims; needs deeper rigor review rather than removal."
625,https://doi.org/10.1007/s44443-025-00353-3,"Adaptive heterogeneous multi-agent debate for enhanced educational and factual reasoning in large language models",keep,5,3,"Springer journal record with direct LLM multi-agent debate topic and enough reference signal; low citations due recency but plausibly relevant."
626,https://doi.org/10.48448/ed35-tw18,"OSC: Cognitive Orchestration through Dynamic Knowledge Alignment in Multi-Agent LLM Collaboration",needs_followup,5,2,"OpenAlex resolves this as repository-hosted Open MIND content rather than a standard venue record, but the abstract is directly about knowledge-aware multi-agent LLM collaboration, so artifact-level follow-up is warranted."
628,https://doi.org/10.20944/preprints202507.1294.v1,"Beyond Prompt Chaining: The TB-CSPN Architecture for Agentic AI",needs_followup,4,2,"Preprints.org architecture paper with no citation/venue signal yet; abstract claims formal coordination and efficiency gains over LangGraph-style orchestration, making it plausible but in need of PDF-level verification."
630,https://doi.org/10.1137/1.9781611978520.43,"CoMAL: Collaborative Multi-Agent Large Language Models for Mixed-Autonomy Traffic",keep,6,4,"SIAM SDM proceedings chapter with explicit collaborative multi-agent LLMs for mixed-autonomy traffic; direct and credible enough to keep."
638,https://doi.org/10.1109/tnnls.2025.3558282,"A Local Information Aggregation-Based Multiagent Reinforcement Learning for Robot Swarm Dynamic Task Allocation",keep,5,3,"IEEE TNNLS MARL/swarm paper is not LLM-specific but is a credible bridge item for distributed coordination and task allocation."
640,https://doi.org/10.12732/ijam.v38i12s.1392,"CLOUD-NATIVE ORCHESTRATION PATTERNS FOR MULTI-AGENT HEALTHCARE LLMS",needs_followup,3,2,"Weak venue/provenance signals and all-caps title raise quality concerns, but the DOI page exposes a concrete abstract on healthcare LLM orchestration with experiments, so this should be checked before removal."
647,https://doi.org/10.3390/app12168004,"Adherence Improves Cooperation in Sequential Social Dilemmas",keep,4,3,"MDPI Applied Sciences social-dilemma/MARL paper with some citation signal; not LLM-specific, but relevant as a coordination and cooperation bridge rather than obvious noise."
651,https://doi.org/10.18653/v1/2024.findings-emnlp.549,"AgentsCourt: Building Judicial Decision-Making Agents with Court Debate Simulation and Legal Knowledge Augmentation",keep,7,4,"Findings of EMNLP paper with direct legal debate-simulation agents and knowledge augmentation; strong corpus fit despite needing deeper evaluation scrutiny."
653,https://doi.org/10.32388/3y8v71,"Diversity of Thought Elicits Stronger Reasoning Capabilities in Multi-Agent Debate Frameworks",needs_followup,4,2,"Qeios posted-content record and strong performance claims need verification, but the abstract directly concerns heterogeneous LLM debate and cites relevant debate work."
663,https://doi.org/10.1609/aaai.v38i16.29710,"ProAgent: Building Proactive Cooperative Agents with Large Language Models",keep,7,4,"AAAI paper with strong citation signal and direct proactive cooperative LLM-agent setting; clearly relevant."
670,https://doi.org/10.1038/s42004-025-01776-9,"ChemGraph as an agentic framework for computational chemistry workflows",keep,6,4,"Nature Communications Chemistry article with benchmarked agentic scientific workflows and LLM task planning/decomposition; domain-specific but credible and useful."
673,2025.00006,"SALLMA: A Software Architecture for LLM-Based Multi-Agent Systems",keep,5,3,"IEEE SATrends-style identifier and title directly target software architecture for LLM multi-agent systems; low citation signal but plausible infrastructure relevance."
682,https://doi.org/10.1109/access.2024.3481641,"DeCoAgent: Large Language Model Empowered Decentralized Autonomous Collaboration Agents Based on Smart Contracts",keep,5,3,"IEEE Access paper with explicit decentralized LLM collaboration agents; applied and likely needs rigor review, but not obvious noise."
683,https://doi.org/10.1016/j.watres.2025.124536,"Leveraging large language models for automating water distribution network optimization",keep,5,3,"Water Research article from a strong applied venue; title is not explicitly multi-agent, but metadata suggests orchestration relevance and the venue/citation signal merit retention."
684,https://doi.org/10.1109/educon62633.2025.11016653,"Harnessing Multi-Agent LLMs for Complex Engineering Problem-Solving: A Framework for Senior Design Projects",keep,4,3,"IEEE EDUCON application paper with explicit multi-agent LLM framework; likely narrow educational engineering use case but credible enough for deeper review."
694,https://doi.org/10.20944/preprints202603.0129.v1,"A Self-Reflective Multi-Agent Collaboration Framework for Dynamic Software Engineering Tasks",needs_followup,4,2,"Recent Preprints.org software-engineering MAS paper with strong SWE-bench claims and no local artifact; direct relevance but quality and reproducibility need follow-up."
696,https://doi.org/10.1109/eiecc67963.2025.11409558,"Contextual Trust Evaluation for Robust Coordination in Large Language Model Multi-Agent Systems",keep,5,3,"IEEE conference paper directly on trust evaluation and coordination in LLM-MAS; modest venue/citation signal but relevant and not obvious noise."
