rank,id,title,decision,overall_score_1_10,review_confidence_1_5,reason
860,https://doi.org/10.1145/3696630.3728717,Facilitating Trustworthy Human-Agent Collaboration in LLM-based Multi-Agent System oriented Software Engineering,keep,5,3,"ACM proceedings item directly about trustworthy human-agent collaboration in LLM-based multi-agent software engineering; likely short/early but relevant enough for deeper review."
862,https://doi.org/10.1109/icra55743.2025.11127486,Enhancing Multi-Agent Systems via Reinforcement Learning with LLM-Based Planner and Graph-Based Policy,keep,5,3,"ICRA/IEEE metadata and direct multi-agent planning/RL focus make this plausibly relevant; unresolved artifact is not enough for obvious removal."
864,https://doi.org/10.1109/tiv.2024.3488793,KoMA: Knowledge-Driven Multi-Agent Framework for Autonomous Driving With Large Language Models,keep,6,4,"IEEE TIV paper with citations and an LLM multi-agent autonomous driving framework; credible applied multi-agent system needing normal review rather than pruning."
865,https://doi.org/10.32996/jcsts.2026.8.4.1,Agentic AI Modernization: Transforming Institutional Infrastructure Through Orchestrated Multi-Agent LLM Framework,remove,2,4,"Broad single-author institutional modernization article in a low-signal venue with sweeping architecture and performance claims from metadata/abstract; weak apparent rigor and limited reusable multi-agent contribution."
866,https://doi.org/10.35490/ec3.2025.218,A Conceptual Framework for LLM-based Multi-agent System in Construction Management,needs_followup,4,2,"Conceptual domain framework from EC3 2025 is plausibly relevant but artifact absence prevents judging whether it is substantive or just a high-level position paper."
871,https://doi.org/10.3390/app15169096,CurriculumPT: LLM-Based Multi-Agent Autonomous Penetration Testing with Curriculum-Guided Task Scheduling,keep,5,3,"Directly relevant LLM multi-agent cybersecurity task scheduling paper; venue is not decisive and the topic is practical enough to retain for deeper review."
880,https://doi.org/10.22161/ijaems.122.8,Policy Convergence and Explainable Stability in Orchestrated Multi-Agent LLM Trading Frameworks,remove,2,4,"Short conceptual trading-framework article with no evident empirical system, benchmark, or technical validation; metadata/abstract suggest synthesis rather than a rigorous multi-agent contribution."
882,2025.51187,Development of a Large Language Model-based Multi-Agent Clinical Decision Support System for Korean Triage and Acuity Scale (KTAS)-Based Triage and Treatment Planning in Emergency Departments,keep,5,3,"Plausible LLM multi-agent clinical CDSS with role agents, baseline comparison, and dataset/specialist evaluation signals; needs deeper scrutiny but is not obvious noise."
883,2025.00024,LLM-Based Multi-Agent Framework for Troubleshooting Distributed Systems,keep,4,3,"Directly relevant LLM multi-agent framework for distributed systems troubleshooting from IEEE Cloud Summit metadata; low citations but not an obvious low-quality artifact."
884,https://doi.org/10.1109/tce.2025.3608003,FedLMA: A Federated Learning Framework Integrating LLM-Based Multi-Agent Reasoning With Knowledge Distillation,keep,5,3,"IEEE TCE paper combining federated learning with LLM-based multi-agent reasoning; relevance and rigor need review but source credibility argues against removal."
885,https://doi.org/10.1109/tits.2023.3285442,Deep Multi-Agent Reinforcement Learning for Highway On-Ramp Merging in Mixed Traffic,keep,6,4,"High-citation IEEE TITS MARL bridge paper; not LLM-specific but relevant foundation/bridge material for multi-agent behavior and traffic settings."
888,https://doi.org/10.1007/s10458-024-09682-5,Formal contracts mitigate social dilemmas in multi-agent reinforcement learning,keep,6,3,"Formal contracts in MARL social dilemmas are relevant to coordination and cooperation foundations; credible journal metadata supports keeping."
896,https://openalex.org/W3035511399,Obedience-based Multi-Agent Cooperation for Sequential Social Dilemmas,keep,5,2,"Likely thesis or local artifact but directly about multi-agent cooperation in sequential social dilemmas; plausible foundation and not obvious corpus noise."
913,https://doi.org/10.65109/vtgr9509,Evolving Intrinsic Motivations for Altruistic Behavior,keep,7,4,"Known multi-agent social dilemma/altruistic behavior work with strong authorship and foundational relevance; DOI metadata appears odd but title/authors/content are credible."
914,https://doi.org/10.3390/app13031807,Admission-Based Reinforcement-Learning Algorithm in Sequential Social Dilemmas,keep,5,3,"MARL sequential social dilemma paper with some citation signal; narrow but relevant anchor/bridge material rather than obvious low-quality noise."
915,https://doi.org/10.1109/lcomm.2022.3214792,Multi-Agent Reinforcement Learning-Based Decentralized Spectrum Access in Vehicular Networks With Emergent Communication,keep,5,3,"IEEE Communications Letters paper on MARL and emergent communication; domain-specific but credible and relevant to emergent communication."
916,https://doi.org/10.5555/3398761.3398895,A Structural Solution to Sequential Moral Dilemmas,keep,5,3,"AAMAS-style proceedings metadata and direct multi-agent dilemma framing make this a plausible foundation paper despite limited metadata."
917,2023.00073,Multi-agent Reinforcement Learning with Emergent Communication using Discrete and Indifferentiable Message,keep,4,3,"Workshop/conference-style emergent communication MARL paper; limited signal but relevant enough for corpus retention pending deeper review."
918,https://doi.org/10.1109/meditcom58224.2023.10266608,Emergent Communication in Multi-Agent Reinforcement Learning for Flying Base Stations,keep,4,3,"Applied IEEE emergent communication/MARL paper; narrow telecom domain but clearly multi-agent and not obvious noise."
926,https://doi.org/10.5281/zenodo.18732505,Beyond Homo Economicus: Computational Verification of Amartya Sen's Meta-Ranking Theory in Multi-Agent Social Dilemmas,needs_followup,3,2,"Zenodo/OpenAlex metadata and zero citations are weak, but the social-dilemma framing is plausibly relevant; artifact absence prevents a fair obvious-removal decision."
