rank,id,title,decision,overall_score_1_10,review_confidence_1_5,reason
983,https://doi.org/10.3390/fi17090404,"The Rise of Agentic AI: A Review of Definitions, Frameworks, Architectures, Applications, Evaluation Metrics, and Challenges",keep,6,3,"DOI-backed 2025 survey with substantial reference/citation metadata and explicit coverage of agentic AI, frameworks, architectures, evaluation, and multi-agent systems; broad and likely uneven, but relevant enough for deeper corpus review."
984,https://doi.org/10.12688/f1000research.169927.1,"Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",keep,5,3,"F1000Research DOI-backed 2025 survey with extensive references and direct coverage of agentic AI architectures, threats, governance, and multi-agent coordination; broad safety/governance framing is not core MAS methodology, but not obvious noise."
991,https://doi.org/10.65109/awbm1925,Information Gathering in Decentralized POMDPs by Policy Graph Improvement,keep,6,4,"Proceedings article on Dec-POMDP information gathering with a concrete algorithm and theoretical/empirical claims; not LLM-agent work, but credible classical decentralized multi-agent decision-making foundation."
993,https://doi.org/10.3390/electronics12030659,Flexible Agent Architecture: Mixing Reactive and Deliberative Behaviors in SPADE,keep,5,3,"DOI-backed MAS framework/architecture paper with a concrete SPADE agent contribution; not central to LLM agents and likely engineering-oriented, but plausibly useful background rather than obvious low-quality noise."
994,https://doi.org/10.1080/10447318.2025.2495117,Simulating Social Behavior of LLM-Based Autonomous Negotiator Agents in a Game-Theoretical Framework Using Multi-Agent Systems,keep,5,3,"DOI-backed 2025 journal article directly about LLM-based autonomous negotiator agents in a multi-agent game-theoretic setting; low citations and narrow scope, but directly relevant and needs deeper review."
995,https://openalex.org/W2571164237,A Large Data Exchange Method for Multi-agent in Java Agent Development Framework,remove,2,4,"OpenAlex record points to a submitted/repository version rather than a clearly published venue; narrow Java data-exchange engineering topic, low citation count, no LLM/agentic relevance, and little evidence of foundational value."
996,https://doi.org/10.14569/ijacsa.2019.0100970,Timed-Arc Petri-Nets based Agent Communication for Real-Time Multi-Agent Systems,remove,3,4,"Niche real-time MAS communication/formalism article in a modest venue with very low citation metadata; not LLM-specific, not a classic foundation, and unlikely to improve an LLM-driven multi-agent literature map."
997,https://openalex.org/W2559627494,KQML Based Communication Protocol for Multi Agent Systems,remove,2,4,"Low-citation article with failed/unavailable artifact and no clear venue metadata; KQML itself is foundational, but this 2015 protocol paper is not the classic source and appears redundant/noisy for the corpus."
998,https://doi.org/10.17683/ijomam/issue7.14,COMMUNICATION BETWEEN MULTI-AGENTS IN ROTATING MACHINERY DIAGNOSTIC SYSTEM,remove,2,4,"Zero-citation niche application paper in rotating machinery diagnostics; no LLM relevance, weak multi-agent generality, and no indication of being a reusable benchmark, method, or foundation."
999,https://doi.org/10.1109/iciicii.2015.126,Research on Multi-agent System in Intelligent Manufacturing with Enterprise Alliance,remove,2,4,"Short low-citation IEEE proceedings paper on an older intelligent-manufacturing application; narrow enterprise-alliance use case with no LLM relevance and no obvious foundational or high-impact value."
