rank,id,title,decision,overall_score_1_10,review_confidence_1_5,reason
807,https://doi.org/10.26240/heal.ntua.31912,Adaptive Multi-Agent LLM Systems for Financial Trading: A Framework for Realistic Simulation and Dynamic Prompt Optimization,needs_followup,4,2,"Unresolved institutional DOI/thesis-like item; title is plausibly about LLM multi-agent financial trading, but there is no artifact, venue signal, or citation signal to support a fair keep/remove call."
808,https://doi.org/10.1007/978-3-031-91813-1_8,MEDCO: Medical Education Copilots Based on a Multi-agent Framework,keep,6,3,"Plausible domain-specific multi-agent LLM framework in medical education with Springer chapter metadata and citation signal; rigor and baselines still need deeper review."
809,https://doi.org/10.1109/access.2019.2913916,Development of an Easy-to-Use Multi-Agent Platform for Teaching Mobile Robotics,remove,2,5,"IEEE Access robotics education platform from 2019; metadata indicates classical mobile robotics multi-agent teaching software rather than an LLM-agent or LLM multi-agent contribution."
810,https://doi.org/10.1186/s10194-024-01944-7,"Influence of next-generation artificial intelligence on headache research, diagnosis and treatment: the junior editorial board members' vision - part 2",remove,2,4,"Medical vision/editorial article about next-generation AI in headache care; no clear LLM-agent, multi-agent system, benchmark, or technical agent contribution in the metadata."
811,https://doi.org/10.1038/s41746-025-01475-8,Large language model agents can use tools to perform clinical calculations,keep,6,4,"Credible clinical LLM-agent/tool-use evaluation in a strong venue; multi-agent specificity appears limited, but it is relevant agent literature and not obvious noise."
812,https://doi.org/10.1093/bioinformatics/btaf159,Automatic biomarker discovery and enrichment with BRAD,keep,6,3,"Bioinformatics paper on an agentic biomarker discovery workflow; likely useful domain-agent evidence, though multi-agent mechanisms need artifact-level review."
813,https://doi.org/10.1021/acsphotonics.5c01514,An Agentic Framework for Autonomous Metamaterial Modeling and Inverse Design,keep,5,3,"Plausible scientific-agent application in metamaterial modeling and inverse design; niche and likely applied, but not obvious corpus noise."
814,https://doi.org/10.1038/s44387-025-00064-0,An agentic AI framework for ingestion and standardization of single-cell RNA-seq data analysis,keep,5,3,"Plausible agentic scientific workflow for single-cell data processing; artifact is missing, but source/DOI metadata are credible enough for deeper review."
815,https://doi.org/10.1007/978-3-032-06004-4_6,MedXpert-CAD: A Multimodal Multi-agentic System for Clinical Imaging Analysis via Model Context Protocol LLM-Driven Agentic Workflows,keep,5,3,"Explicit multimodal multi-agentic LLM workflow for clinical imaging; low citation signal and book-chapter format, but squarely relevant enough to retain."
822,https://doi.org/10.1038/s41467-025-64105-7,Evaluating large language model agents for automation of atomic force microscopy,keep,7,4,"Strong venue and clear evaluation of LLM agents in a scientific automation setting; likely useful benchmark/evaluation signal despite unresolved local artifact."
827,2025.00031,Engineering LLM Powered Multi-Agent Framework for Autonomous CloudOps,keep,5,3,"Explicit LLM-powered multi-agent framework for CloudOps; applied systems contribution with moderate citation signal, worth deeper review for rigor and baselines."
831,https://doi.org/10.1609/aaai.v40i35.40210,"Towards Effective Offensive Security LLM Agents: Hyperparameter Tuning, LLM as a Judge, and a Lightweight CTF Benchmark",keep,6,3,"AAAI security-agent benchmark/tuning paper; not necessarily multi-agent-specific from title alone, but credible and relevant to LLM agent evaluation."
834,https://doi.org/10.1145/3674399.3674445,BlockAgents: Towards Byzantine-Robust LLM-Based Multi-Agent Coordination via Blockchain,keep,5,3,"Explicit LLM-based multi-agent coordination/security paper; blockchain mechanism may be debatable, but it is directly in-scope and needs full review."
835,https://doi.org/10.1109/isdfs60797.2024.10527275,LLM-Based Framework for Administrative Task Automation in Healthcare,keep,6,4,"IEEE healthcare LLM framework with strong citation signal and references to AutoGen/MetaGPT-style agent work; multi-agent specificity is unclear but not an obvious removal."
836,https://doi.org/10.20944/preprints202512.2497.v1,SecureGov-Agent: A Governance-Centric Multi-Agent Framework for Privacy-Preserving and Attack-Resilient LLM Agents,keep,5,3,"Preprint metadata and abstract describe a concrete LLM multi-agent security framework with experiments; venue quality is weak, but the topic is directly relevant."
837,https://doi.org/10.1016/j.csbj.2025.07.012,Leveraging MDS2 and SBOM data for LLM-assisted vulnerability analysis of medical devices,needs_followup,4,2,"Credible LLM-assisted cybersecurity/medical-device paper, but metadata does not show an agent or multi-agent mechanism; missing artifact prevents a fair relevance decision."
838,https://doi.org/10.3389/fphy.2025.1613499,Fostering collective intelligence in CPSS: an LLM-driven multi-agent cooperative tuning framework,keep,5,3,"Explicit LLM-driven multi-agent cooperative tuning framework with abstract-level mechanism; low citation signal and venue concerns are not enough for obvious removal."
850,https://doi.org/10.1109/milcom61039.2024.10773923,Training Autonomous Cyber Defense Agents: Challenges & Opportunities in Military Networks,keep,5,3,"Autonomous cyber-defense agent paper with references to LLM-agent methods such as ReAct/RAG; likely bridge/foundation material, though LLM and multi-agent specificity need review."
851,https://doi.org/10.1109/netsoft64993.2025.11080605,Towards Robust Autonomous Cyber Defence Agents Using Hybrid AI Models,keep,4,3,"Short applied autonomous cyber-defense agent paper with hybrid-AI framing; not clearly LLM-specific, but plausible bridge material rather than obvious noise."
859,https://doi.org/10.1109/isdfs65363.2025.11012014,Debate-Driven Multi-Agent LLMs for Phishing Email Detection,keep,5,3,"Explicit debate-driven multi-agent LLM application for phishing detection; applied and likely narrow, but directly relevant to the multi-agent LLM corpus."
