rank,id,title,decision,overall_score_1_10,review_confidence_1_5,reason
535,https://doi.org/10.1109/lra.2025.3533476,"A Dual-Agent Collaboration Framework Based on LLMs for Nursing Robots to Perform Bimanual Coordination Tasks",keep,6,3,"Directly LLM-based dual-agent robot coordination work in a credible robotics venue; likely relevant despite unresolved local artifact and needs deeper rigor review."
538,https://doi.org/10.63278/jicrcr.vi.3596,"Privacy-Preserving LLM Infrastructure With Multi-Agent Orchestration And RAG-Driven Retrieval",remove,2,4,"Quick DOI check shows a short generic 2026 OJS article in an off-topic crisis/risk communication journal with broad unverified claims and no visible rigorous multi-agent contribution."
540,https://doi.org/10.1109/sisy62279.2024.10737601,"An Intelligent LLM-Powered Personalized Assistant for Digital Banking Using LangGraph and Chain of Thoughts",remove,3,3,"Metadata describes a single personalized banking assistant using LangGraph and chain-of-thought rather than a multi-agent system; likely corpus noise from broad agent/workflow matching."
551,https://doi.org/10.1109/bigdata62323.2024.10825553,"ASPIRE: A Multi-Agent Framework for Execution-Free Code Analysis and Repair",keep,6,3,"Explicit multi-agent code analysis and repair framework in a plausible peer-reviewed venue; relevant enough for deeper corpus review."
553,2024.00008,"From Data to Story: Towards Automatic Animated Data Video Creation with LLM-Based Multi-Agent Systems",keep,6,3,"Explicit LLM-based multi-agent system for data-video generation with nontrivial artifact potential; not obvious noise."
562,https://doi.org/10.1101/2025.01.23.634608,"BioMaster: Multi-agent System for Automated Bioinformatics Analysis Workflow",keep,6,3,"Explicit multi-agent automated bioinformatics workflow with early citation signal; plausible applied LLM-agent paper despite preprint status."
563,https://doi.org/10.5281/zenodo.18911464,"LLM-Driven DAG Planning with Topological Execution for Multi-Agent AI Orchestration",remove,2,4,"Zenodo page describes a single-author personal assistant system with thin system-specific metrics and broad orchestration claims; too weak and self-published for this pruning pass."
568,https://doi.org/10.1177/1059712321993166,"Evolution of coordination in pairwise and multi-player interactions via prior commitments",keep,5,3,"Non-LLM but credible coordination/social-dilemma bridge paper with citation signal; potentially useful foundation for multi-agent coordination."
569,https://doi.org/10.26434/chemrxiv-2024-6wmg4,"Accelerated end-to-end chemical synthesis development with large language models",keep,5,2,"Plausible LLM-driven scientific workflow paper with citation signal; multi-agent specificity is unclear but not obvious low-quality noise."
570,https://doi.org/10.1109/sceecs64059.2025.10940635,"Multi-Agent hierarchical workflow for autonomous code generation with Large Language Models",keep,5,3,"Explicit LLM multi-agent code-generation workflow; likely incremental but relevant enough to retain for deeper review."
571,https://doi.org/10.1145/3718958.3750537,"Intent-Driven Network Management with Multi-Agent LLMs: The Confucius Framework",keep,6,3,"Explicit multi-agent LLM framework in an ACM venue for network management; plausible applied systems contribution."
576,https://doi.org/10.1177/1541931213601031,"Application of a System-Wide Trust Strategy when Supervising Multiple Autonomous Agents",keep,5,3,"Older non-LLM human/autonomy trust paper but clearly about supervising multiple autonomous agents and potentially useful as bridge context."
577,https://doi.org/10.65109/lkqg2705,"Repurposing Manufacturing Lines on the Fly with Multi-agent Systems for the Web of Things",keep,5,3,"Non-LLM but explicit multi-agent systems paper with citation signal; reasonable bridge/foundation item for agentic design."
580,https://doi.org/10.5281/zenodo.19426917,"Associative Memory Fields: Zero-Infrastructure Spreading Activation for LLM Multi-Agent Systems",remove,2,4,"Zenodo page describes a Buddys Architecture Series note with only 12 probe queries and highly system-specific memory claims; obvious thin-evidence self-published artifact."
581,https://doi.org/10.1109/icnlp65360.2025.11108400,"Program Code Generation: Single LLMs vs. Multi-Agent Systems",keep,6,3,"Directly compares single LLMs with multi-agent systems for code generation, matching a core corpus question even if the venue/citation signal is modest."
587,https://doi.org/10.1109/iros47612.2022.9981810,"Reshaping Robot Trajectories Using Natural Language Commands: A Study of Multi-Modal Data Alignment Using Transformers",remove,3,3,"Credible robotics paper but metadata indicates language-conditioned trajectory reshaping with transformers, not LLM-driven multi-agent coordination; likely source-matching noise."
588,https://doi.org/10.1109/access.2019.2941229,"Q-Learning Algorithms: A Comprehensive Classification and Applications",remove,3,3,"High-citation survey but too broad: Q-learning classification/applications rather than LLM agents or multi-agent coordination; low specificity for this corpus."
589,https://doi.org/10.1109/access.2020.2966803,"Research on Integrity Check Method of Cloud Storage Multi-Copy Data Based on Multi-Agent",remove,2,4,"Cloud-storage integrity checking paper using generic multi-agent terminology; no LLM relevance and little practical value for a multi-agent LLM literature map."
594,https://doi.org/10.1038/s42256-024-00944-1,"LLM-based agentic systems in medicine and healthcare",keep,7,4,"High-credibility Nature Machine Intelligence survey/review on LLM agentic systems with strong citation signal; should remain even if not exclusively multi-agent."
595,https://doi.org/10.1016/j.acags.2024.100218,"Streamlining geoscience data analysis with an LLM-driven workflow",keep,5,2,"LLM-driven domain workflow paper with some citation signal; multi-agent specificity is unclear but it is plausible agentic workflow context and not obvious noise."
