rank,id,title,decision,overall_score_1_10,review_confidence_1_5,reason
479,https://doi.org/10.2139/ssrn.6339960,"AutoPatch: Multi-Agent Framework for Patching Real-World CVEs Generated by Outdated LLMs",needs_followup,4,2,"Recent SSRN preprint with no local artifact; the CVE patching and multi-agent LLM framing is plausibly relevant but needs paper-level verification before pruning or accepting."
480,https://doi.org/10.2139/ssrn.5746063,"DrugAgent: A Theory-Driven LLM Multi-Agent System for Automating Machine Learning Programming in Drug Discovery",needs_followup,4,2,"SSRN-only unresolved artifact, but the title describes a concrete LLM multi-agent system for automated ML programming in drug discovery; plausible applied relevance warrants follow-up."
481,https://doi.org/10.2139/ssrn.5276004,"Why Should Next-Gen LLM Multi-Agent Systems Move Beyond Fixed Architectures to Dynamic, Input-Driven Graphs?",needs_followup,4,2,"Likely conceptual SSRN preprint with low citation signal and no artifact, but dynamic input-driven multi-agent graph structure is directly relevant enough to avoid obvious pruning."
483,https://doi.org/10.1016/j.autcon.2025.106611,"Automated carbon-aware assessment of openBIM-based ductwork design using knowledge graph–augmented LLM multi-agent framework",keep,5,3,"Automation in Construction journal paper using a KG-augmented LLM multi-agent framework for BIM assessment; domain-specific but credible and directly relevant."
484,https://doi.org/10.1145/3703412.3703416,"BudgetMLAgent: A Cost-Effective LLM Multi-Agent system for Automating Machine Learning Tasks",keep,6,4,"ACM paper focused on cost-effective LLM multi-agent automation for ML tasks; good fit for cost and coordination coverage despite limited citation signal."
485,2024.00028,"Research on Multi-agent Path Planning Algorithm Based on Large Language Model",keep,4,3,"IEEE proceedings metadata and LLM-based multi-agent path-planning topic are relevant enough for deeper review, though the title suggests a narrow and possibly preliminary contribution."
493,https://doi.org/10.4018/979-8-3373-2008-3.ch001,"Orchestrating Multi-Agent Applications With Langflow and Large Language Models (LLMs)",needs_followup,3,2,"IGI book chapter with generic Langflow/orchestration framing and no citations; plausible educational framework relevance but insufficient metadata to judge rigor."
494,https://doi.org/10.2139/ssrn.5193257,"Communication Structure Adaptive Control and Collaborative Optimization for Multi-Agent Systems Based on Deepseek Large Language Model",remove,2,4,"SSRN single-author preprint with zero citations and no references in Crossref; framing appears to graft DeepSeek/LLM language onto a broad adaptive-control survey without clear LLM multi-agent evidence."
495,https://doi.org/10.1016/j.cemconcomp.2025.106230,"Multi-agent collaboration for knowledge-guided data-driven design of ultra-high-performance concrete (UHPC) incorporating solid wastes",keep,6,4,"Cement and Concrete Composites paper with strong early citation signal and explicit knowledge-guided multi-agent collaboration for materials design; applied but credible."
500,https://doi.org/10.1038/s41598-026-42705-7,"When collaboration fails: persuasion driven adversarial influence in multi agent large language model debate",keep,6,3,"Nature Scientific Reports paper directly studies adversarial influence in multi-agent LLM debate; relevant to failure modes even with no citation history yet."
503,https://doi.org/10.1109/aiiot61789.2024.10578990,"Enhancing AI Systems with Agentic Workflows Patterns in Large Language Model",keep,5,3,"IEEE conference paper with high citation signal for agentic workflow patterns; may be broader than multi-agent debate but useful enough for corpus retention."
504,https://doi.org/10.1109/tnse.2026.3659486,"Toward Transparent and Incentive-Compatible Collaboration in Decentralized LLM Multi-Agent Systems: A Blockchain-Driven Approach",keep,6,3,"IEEE Transactions paper on transparency and incentive compatibility in decentralized LLM MAS; plausible coordination/governance contribution despite being very recent."
510,https://doi.org/10.1002/pra2.1034,"“Tipping the Balance”: Human Intervention in Large Language Model Multi‐Agent Debate",keep,5,3,"ASIS&T proceedings paper on human intervention in LLM multi-agent debate; directly relevant to debate dynamics and human oversight."
515,https://doi.org/10.30693/smj.2025.14.10.140,"Multi-Agent Debate System based on Large Language Model: Comparative Analysis of Interaction Architectures",keep,4,3,"Quick metadata inspection shows experiments comparing MagenticOne, Swarm, SelectorGroupChat, and RoundRobinGroupChat for LLM debate; lower venue but directly relevant."
517,https://doi.org/10.1038/s44387-025-00003-z,"PRefLexOR: preference-based recursive language modeling for exploratory optimization of reasoning and agentic thinking",keep,6,4,"Nature Reviews Methods Primers/Nature-family DOI and strong early citation signal; agentic reasoning optimization may be adjacent but credible enough for deeper review."
518,https://doi.org/10.3390/robotics14030024,"Agentic Workflows for Improving Large Language Model Reasoning in Robotic Object-Centered Planning",keep,5,3,"Robotics journal article with citations and explicit agentic workflow framing for robotic planning; applied but relevant to LLM reasoning workflows."
526,https://doi.org/10.1016/j.automatica.2024.112047,"A matching problem between two decoupled multi-agent systems with reference tracking capabilities",remove,2,5,"Credible Automatica control paper, but quick Crossref/reference inspection shows conventional multi-agent control and matching, not LLM-driven or language-agent work; false positive for this corpus."
529,https://doi.org/10.1080/12265934.2025.2462823,"Enhancing participatory planning with ChatGPT-assisted planning support systems: a hypothetical case study in Seoul",remove,2,4,"Urban planning journal article about ChatGPT-assisted planning support, with no evidence from metadata/references of a multi-agent LLM system; low multi-agent specificity for this map."
530,https://doi.org/10.3390/rs17030466,"Co-LLaVA: Efficient Remote Sensing Visual Question Answering via Model Collaboration",remove,2,4,"Inspected abstract frames Co-LLaVA as LVLM plus contrastive captioner model collaboration that reduces cost versus multi-agent debate, not as a multi-agent LLM system; false positive."
532,https://doi.org/10.18653/v1/2025.acl-long.1202,"Graph Counselor: Adaptive Graph Exploration via Multi-Agent Synergy to Enhance LLM Reasoning",keep,8,4,"ACL long paper directly on adaptive graph exploration and multi-agent synergy for LLM reasoning; strong venue and high corpus relevance."
